STABR,YEAR,POPU_LSA,CENTLIB,BRANLIB,BKMOB,BKVOL,EBOOK,VISITS
RI,2016,1431901,47,23,1,3560508,1976463,5778025
SC,2016,4652360,41,151,30,8961952,1017237,15802934
SD,2016,1241853,112,30,4,2755106,1174070,3727256
TN,2016,6438295,186,99,3,11647856,25241757,18701973
TX,2016,25324740,556,323,11,39726650,6822635,70984421
UT,2016,2977082,64,65,16,6493807,1416315,16141327
VA,2016,8251562,84,272,22,17096524,6245802,35649602
VT,2016,686918,183,3,4,2631708,174739,3721332
WA,2016,7076016,54,291,26,12825407,3175050,38703324
WI,2016,5749078,378,81,5,18401122,51994105,31443416
WV,2016,1852994,97,75,8,4916665,3424301,5231443
WY,2016,586107,23,53,2,2310844,532641,3536788
AK,2015,654479,86,16,1,2395272,502695,3120386
AL,2015,4833722,222,74,16,9330807,3414634,16529493
AR,2015,2833849,54,179,2,6371116,591038,10383499
AS,2015,60863,1,1,0,41938,1217,63563
AZ,2015,10652448,85,136,11,8195813,1698298,26425068
CA,2015,38697702,166,949,51,63675919,5598601,162526811
CO,2015,5326282,97,162,13,9951997,1707614,32347301
CT,2015,4375652,192,47,4,14309277,1549066,21869154
DC,2015,672228,1,25,0,1862550,244210,4189520
DE,2015,935043,19,13,2,1646103,544719,4115052
FL,2015,20061119,60,475,23,30794327,2431664,73400951
GA,2015,10250112,62,338,11,16522129,412040,29147787
GU,2015,159358,1,5,0,266695,200,72223
HI,2015,1419561,1,49,2,3197205,38509,4940616
IA,2015,3091381,543,24,3,11982974,6452994,18107047
ID,2015,1366746,100,45,10,4351952,421811,8657494
IL,2015,11708841,622,157,19,42366082,11905527,70379834
IN,2015,6222089,236,191,26,23209611,5235660,34932970
KS,2015,2497316,328,48,5,9150452,43146554,14018272
KY,2015,4413457,119,86,75,9170937,9038104,18584048
LA,2015,4692850,68,272,27,11833399,1256550,20224732
MA,2015,6720911,370,94,4,30872149,16204148,40693986
MD,2015,5922168,14,174,16,11921844,2734237,28145478
ME,2015,1345231,262,6,1,6221864,1588418,6719983
MI,2015,9747938,389,252,9,31842188,3562388,48242810
MN,2015,5781457,129,226,8,14362914,3983900,24472891
MO,2015,5476144,139,222,26,16287823,1871690,28446757
MS,2015,3010927,52,184,2,5703858,152247,9057776
MT,2015,988533,82,32,4,2622221,961855,4220996
NC,2015,9953687,69,316,21,16021416,16550082,35671727
ND,2015,670109,77,4,11,2223262,472148,2213327
NE,2015,1564374,260,19,7,5826917,3446732,8309742
NH,2015,1448586,227,5,0,5891592,3731108,7417674
NJ,2015,9401743,295,143,12,27504614,3636107,44045921
NM,2015,1643292,95,29,1,4293846,243131,7365968
NV,2015,2842285,19,66,3,4115827,266935,9918132
NY,2015,19519880,755,308,8,69312915,16623212,103912991
OH,2015,11509951,239,474,50,41023868,47362218,77708926
OK,2015,3201818,118,96,4,7093291,2389725,13574945
OR,2015,3797508,129,95,7,9838424,3884222,20538005
PA,2015,12446680,451,170,22,25297878,8271274,44497330
RI,2015,1431901,47,23,1,4240572,1673329,5888256
SC,2015,4652360,40,152,31,9107672,583879,17234633
SD,2015,1239099,112,31,4,2767568,1163720,3696459
TN,2015,6374660,185,99,3,11721622,21551660,19035041
TX,2015,24842461,554,323,8,39757839,4555785,71943760
UT,2015,2922067,64,62,16,6633404,1148363,17501831
VA,2015,8164556,83,274,22,17209663,4609962,37598145
VT,2015,686918,183,3,4,2978925,93292,3678613
WA,2015,6955368,54,291,26,13261100,2536151,39900470
WI,2015,5749006,378,82,5,18781351,53651590,31898594
WV,2015,1852994,97,76,8,5004721,4055331,5454660
WY,2015,584153,23,52,2,2383899,407183,3556145
AK,2014,652274,85,16,1,2434236,351606,3491307
AL,2014,4822023,221,76,14,9442086,2714815,17217402
AR,2014,2833849,54,179,2,6304377,532433,10973629
AS,2014,61811,1,1,0,40880,0,70487
AZ,2014,10501253,85,135,11,8229850,1367378,27609711
CA,2014,38322887,167,950,53,65409430,2978360,164300175
CO,2014,5238320,97,162,13,10316703,1390637,32981666
CT,2014,4374214,192,47,4,14577630,1312468,21972583
DC,2014,658893,1,25,0,1815540,177086,4230790
DE,2014,925244,19,13,2,1642715,415170,3834672
FL,2014,19813366,63,468,24,31602986,1797802,75553933
GA,2014,10345555,63,332,13,16603157,335265,29490195
GU,2014,159358,1,5,0,263486,1335,103593
HI,2014,1404054,1,49,2,3313134,22966,4875365
IA,2014,3096479,543,24,3,12000156,4667772,18047771
ID,2014,1364648,100,44,11,4323706,242096,8730670
IL,2014,11711641,625,157,19,43503775,7157642,72605776
IN,2014,6219453,236,191,25,24369165,4227186,35441059
KS,2014,2495794,327,49,5,9300570,302365,13931862
KY,2014,4395295,119,87,75,9032867,6915930,19283936
LA,2014,4671955,68,272,28,11895895,879540,17242110
MA,2014,6672700,370,94,4,31284463,7479050,42011647
MD,2014,5828289,15,172,16,12735957,1906659,27793912
ME,2014,1339278,264,6,1,6311244,1250177,6913327
MI,2014,9849089,385,259,9,32565459,2803502,50132634
MN,2014,5739502,129,227,8,14612520,3471705,24566264
MO,2014,5476144,139,223,27,16795429,273974,29533421
MP,2014,53883,1,1,0, , , 
MS,2014,3001323,52,183,2,5641524,60677,9191161
MT,2014,996627,82,33,4,2566095,953053,4703036
NC,2014,9861952,69,316,23,16751726,3335644,35106249
ND,2014,650604,78,4,11,2303520,384491,2186038
NE,2014,1541684,267,19,7,5915734,2697124,8333692
NH,2014,1445227,228,5,0,5860768,4248095,7509774
NJ,2014,9414939,296,143,12,28228099,3162812,45848755
NM,2014,1670727,95,27,1,4309295,197152,7351791
NV,2014,2795962,18,67,3,4297937,215253,10525170
NY,2014,19521570,755,310,7,70815265,14596150,106453546
OH,2014,11525088,239,470,53,42782249,40371164,82495138
OK,2014,3160556,116,96,4,7152132,1647955,13687407
OR,2014,3754296,127,95,7,9872900,3895007,21640633
PA,2014,12446680,451,170,23,25780211,5301993,44791865
PR,2014,3970205,58,78,1,169218,30152,431263
RI,2014,1431901,47,23,1,4233090,1226544,6025726
SC,2014,4652360,40,152,31,9106716,493708,18178677
SD,2014,1214319,112,32,5,2807214,975976,3914777
TN,2014,6333476,186,100,3,11761312,15245473,19528492
TX,2014,24379565,554,319,7,40413604,3425405,73078235
UT,2014,2880340,57,70,16,6643558,557338,17654845
VA,2014,8088031,83,274,22,17539588,1997762,37405643
VI,2014,106405,0,5,1, , , 
VT,2014,687129,181,3,4,2940126,82117,3779545
WA,2014,6862264,54,290,27,13429660,1787761,41280937
WI,2014,5728745,378,82,6,18796863,47106859,32854187
WV,2014,1852994,97,76,8,5034331,4801068,5367596
WY,2014,582658,23,53,2,2496972,171815,3666825
AK,2013,652860,84,16,1,2439730,358779,3376309
AL,2013,4802740,221,75,13,9723150,1776750,16617640
AR,2013,2791901,53,164,1,6578816,331532,10574105
AS,2013,66692,1,1,0,39890,0,59264
AZ,2013,10370306,85,134,10,8446171,1076863,27606792
CA,2013,37966034,166,949,56,67640760,1761806,165501141
CO,2013,5166948,97,155,13,10823244,1228287,32772334
CT,2013,4374031,193,46,4,15264395,1004857,23092578
DC,2013,632323,1,25,0,1802305,80939,2477389
DE,2013,917060,19,13,2,1642391,263193,3717974
FL,2013,19526098,60,469,26,31350819,1481712,78893035
GA,2013,10660977,61,330,16,16089310,272955,30987147
GU,2013,159358,1,5,1,260586,0,98969
HI,2013,1392313,1,49,2,3371766,15830,5153386
IA,2013,3059530,543,24,3,12033109,2916000,18783522
ID,2013,1392845,100,44,12,4357460,78622,8898059
IL,2013,11711119,625,154,19,43400357,4265531,75531075
IN,2013,6215003,237,195,29,24066234,2124076,36944165
KS,2013,2487027,328,48,3,9339647,121624,14228833
KY,2013,4380932,119,86,75,8878375,5351514,19377816
LA,2013,4647844,68,270,25,11649410,523986,16838235
MA,2013,6585053,370,91,4,32124590,3641624,42544324
MD,2013,5800838,14,174,19,12926952,1527589,28491536
ME,2013,1340024,266,6,1,6404097,1127476,7055329
MI,2013,9854251,384,257,9,33410694,2013134,52947161
MN,2013,5702503,128,228,8,14779421,3299010,25305752
MO,2013,5473349,140,223,24,17194119,342116,30299106
MP,2013,53883,1,1,0, , , 
MS,2013,2989396,49,186,2,5686530,47942,9652486
MT,2013,994226,82,32,4,2630100,861509,4655040
NC,2013,9765229,69,315,25,16516721,2897629,35655287
ND,2013,640923,81,4,11,2372102,300230,2211560
NE,2013,1529192,267,19,7,5919866,1819821,8648076
NH,2013,1442295,230,5,0,5957677,3141169,7527157
NJ,2013,9414939,296,145,12,28590655,2189226,46701193
NM,2013,1646422,92,26,1,4311902,88270,7305862
NV,2013,2745164,18,69,3,4127780,135641,10817924
NY,2013,19504490,755,306,6,70954927,9467822,111167172
OH,2013,11529465,238,472,55,43542589,30201183,86418753
OK,2013,3126163,117,94,2,7270854,999774,14177885
OR,2013,3722398,127,93,8,9957503,3215673,22356999
PA,2013,12407724,451,175,24,26391949,4173402,46093666
PR,2013,3990993,58,76,1,258647,30696,525628
RI,2013,1431901,47,23,2,4364340,1036315,6120355
SC,2013,4652360,40,153,29,9205537,291232,18489563
SD,2013,1200578,111,35,6,2847529,747180,4015874
TN,2013,6293455,186,100,3,11640332,94594,20063205
TX,2013,23948522,553,315,9,40096556,1917165,73617788
UT,2013,2825267,59,65,16,6710732,424805,18500437
VA,2013,8019392,81,278,23,18059238,1307040,38403502
VI,2013,106405,0,5,1, , , 
VT,2013,686726,181,3,4,2980733,57468,3816219
WA,2013,6761961,51,289,27,14271346,1411527,41881580
WI,2013,5712889,378,82,6,18997488,25776443,34663310
WV,2013,1852994,97,78,7,5080525,2974057,5589090
WY,2013,576412,23,53,2,2459456,126522,3633418
AK,2012,648733,84,16,1,2429067,305084,3358432
AL,2012,4779736,219,76,15,9670575,890041,17010830
AR,2012,2791492,53,166,1,6515623,157444,10816729
AZ,2012,6487674,86,135,9,8419356,2125526,28121005
CA,2012,37678127,165,938,56,68912421,1355018,163570057
CO,2012,5094369,98,153,14,11366952,622817,32774319
CT,2012,4365333,194,46,5,15385665,760615,24404598
DC,2012,632323,1,24,0,1334479,19516,2546796
DE,2012,897934,19,13,2,1697047,320921,4561619
FL,2012,19337915,57,470,27,32480784,1394066,82460245
GA,2012,10459546,61,332,16,16636791,273671,33351403
GU,2012,159358,1,5,1,258241,1278,75472
HI,2012,1374810,1,49,3,3393557,11688,5347164
IA,2012,3040758,542,24,3,12179219,2021109,19518720
ID,2012,1393630,100,44,10,4362059,45200,9441138
IL,2012,11702600,623,157,23,43862523,2382274,77447598
IN,2012,6217572,237,197,28,24321183,1248050,38663561
KS,2012,2467707,328,48,3,9504858,47911,14731174
KY,2012,4369356,119,84,75,8803432,3239772,19870274
LA,2012,4624437,68,270,27,11934264,324964,16829969
MA,2012,6584601,370,93,5,32731512,2505373,42650826
MD,2012,5701638,14,173,18,13022453,588507,29209021
ME,2012,1338937,266,6,0,6290332,830136,7129155
MI,2012,9908817,387,260,10,33769929,1236188,55525753
MN,2012,5796131,128,228,9,15164085,2750805,26211333
MO,2012,5466502,138,224,26,17274885,417834,30385105
MP,2012,53883,1,1,0, , , 
MS,2012,3003396,48,188,1,5734473,46994,9669062
MT,2012,994226,82,32,2,2699652,801212,4678960
NC,2012,9669244,66,318,26,16519371,2791829,40644178
ND,2012,623606,81,6,11,2363587,233813,2385110
NE,2012,1453012,268,19,7,5978584,962807,8763610
NH,2012,1442295,230,5,0,5973388,2064533,7580567
NJ,2012,9418243,297,145,11,29075031,1728958,48061530
NM,2012,1654598,92,26,2,4344909,55624,7506392
NV,2012,2721794,19,69,3,4440649,120084,11127581
NY,2012,19514845,755,309,6,70074025,5040194,115247666
OH,2012,11547241,239,473,53,44119981,17711215,87376219
OK,2012,3083077,118,94,2,7441247,243907,14378840
OR,2012,3695088,124,96,7,9934053,2567018,23255307
PA,2012,12411451,451,178,28,26694311,2786212,46879095
PR,2012,4034646,58,65,1,282801,30561,592608
RI,2012,1431901,47,22,2,4428345,431489,6092066
SC,2012,4652360,40,151,31,9342884,181263,18301086
SD,2012,1190539,112,34,4,2987839,35673,3998307
TN,2012,6231419,185,102,3,11524827,80117,20895473
TX,2012,23544049,557,308,9,40788513,1144262,75186773
UT,2012,2814871,63,62,17,6963856,334548,19142011
VA,2012,7875242,81,275,24,18332414,1058411,39646073
VI,2012,106405,0,5,1, , , 
VT,2012,687182,181,3,4,3026581,90263,3926690
WA,2012,6697131,52,288,29,14841947,734296,43095638
WI,2012,5703525,379,82,6,19264599,20230446,35648456
WV,2012,1808350,97,78,7,5139597,3365,5830894
WY,2012,568158,23,53,2,2487899,4125,3640021
AK,2011,722190,87,16,1,2405430,118180,3389114
AL,2011,4708708,215,78,13,9808220,630586,17270708
AR,2011,2791492,55,166,1,6670873,89501,10924438
AZ,2011,6452095,88,134,10,9627887,767659,28171694
CA,2011,37510315,166,941,58,70531405,793238,168112788
CO,2011,5023908,99,151,14,11453784,289099,32540638
CT,2011,4365333,194,46,5,15486123,199189,24400545
DC,2011,617996,1,23,0,1465874,15316,2642586
DE,2011,897934,19,13,2,1656528,4383,4421366
FL,2011,19131441,57,464,27,32482807,1088163,84732946
GA,2011,10263024,61,339,19,16660274,129357,34613811
GU,2011,159358,1,5,1,255277,0,80016
HI,2011,1363621,1,49,3,3375062,9141,4869095
IA,2011,3035424,542,22,3,12268368,297982,19965363
ID,2011,1385426,101,42,11,4369651,25381,8891934
